,District
KAMPALA,32
WAKISO,21
BUSHENYI,7
BUSIA,6
KASESE,6
TORORO,6
GULU,5
JINJA,5
LIRA,5
RWAMPARA,4
KITGUM,4
MBALE,4
BUIKWE,4
RUKUNGIRI,4
NTUNGAMO,3
BUDAKA,3
ZOMBO,3
SHEEMA,3
APAC,3
BUNYANGABU,3
LUWERO,3
KIRUHURA,3
SIRONKO,3
MUKONO,3
MITYANA,3
IGANGA,2
SERERE,2
KYOTERA,2
KIBUKU,2
MBARARA,2
MOROTO,2
KIRYANDONGO,2
ARUA,2
AMURU,2
ISINGIRO,2
HOIMA,2
LUUKA,2
PALLISA,2
NEBBI,2
NAMUTUMBA,2
NAPAK,2
KABERAMAIDO,1
KALAKI,1
BUTAMBALA,1
RAKAI,1
BUHWEJU,1
LWENGO,1
KYANKWANZI,1
KIKUUBE,1
KAMWENGE,1
KARENGA,1
KANUNGU,1
KAKUMIRO,1
NGORA,1
BUKOMANSIMBI,1
MAYUGE,1
KOLE,1
GOMBA,1
KABALE,1
RUKIGA,1
KWANIA,1
MARACHA,1
BUTEBO,1
MPIGI,1
KYEGEGWA,1
NAMISINDWA,1
KALIRO,1
ADJUMANI,1
KYENJOJO,1
DOKOLO,1
KAPELEBYONG,1
OYAM,1
BUKEDEA,1
KISORO,1
KUMI,1
KAYUNGA,1
KAPCHORWA,1
MASAKA,1
MANAFWA,1
